mtry,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
5,0.2,0.9240196078431373,0.07917008127159246,0.8580882352941176,0.09200485481900007,0.8953654188948307,0.06269652101478908
5,0.30000000000000004,0.8754680819696299,0.07245745570058168,0.8827205882352941,0.11016400277190451,0.8803030303030303,0.0659831557085762
5,0.4,0.872235122119023,0.07035904783409201,0.9073529411764706,0.11023691326996371,0.8892156862745098,0.06905509639995162
5,0.5,0.8735423116615066,0.06822847691511685,0.9136029411764706,0.10594998861021737,0.8922459893048128,0.06463768519340014
10,0.2,0.9544703907203907,0.05198231981295259,0.8702205882352941,0.10634331960389068,0.9163101604278074,0.056137077423363824
10,0.30000000000000004,0.9324918300653595,0.08112366211558088,0.8952205882352942,0.11232137448793486,0.9160427807486631,0.0738822804609431
10,0.4,0.8883625730994151,0.06818344704135008,0.9073529411764706,0.11023691326996371,0.8982174688057041,0.06475412420541882
10,0.5,0.87937564499484,0.07081171371939703,0.9136029411764706,0.10594998861021737,0.895187165775401,0.06330593444489732
15,0.2,0.974053724053724,0.042989387885827055,0.8643382352941177,0.09979208128271438,0.922192513368984,0.04976751686761058
15,0.30000000000000004,0.9504668534080298,0.05688823702446438,0.9011029411764706,0.11010945870797252,0.9279857397504456,0.05756744830823206
15,0.4,0.9393954248366013,0.07230139104992508,0.9198529411764705,0.09666313679272863,0.9310160427807487,0.06399096649420166
15,0.5,0.9049918300653594,0.06549788415805895,0.9198529411764705,0.09666313679272863,0.9131907308377897,0.05982657894783851
20,0.2,0.974053724053724,0.042989387885827055,0.8580882352941176,0.10520960021277502,0.9192513368983957,0.051297821883264275
20,0.30000000000000004,0.9681713711125476,0.043069028619300155,0.9073529411764706,0.11023691326996371,0.9399286987522282,0.057042854990575764
20,0.4,0.9509430438842204,0.056704226682990154,0.9198529411764705,0.09666313679272863,0.9370766488413547,0.05424481905702455
20,0.5,0.9393954248366013,0.07230139104992508,0.9316176470588236,0.0906067483841515,0.9368983957219251,0.06472413067306186
25,0.2,0.9728506787330317,0.045097786991632124,0.8397058823529412,0.08823869819141687,0.9103386809269163,0.04739879714810935
25,0.30000000000000004,0.974053724053724,0.042989387885827055,0.9011029411764706,0.11010945870797252,0.9398395721925134,0.058753341634530845
25,0.4,0.9509430438842204,0.056704226682990154,0.9198529411764705,0.09666313679272863,0.9370766488413547,0.05424481905702455
25,0.5,0.9450606909430439,0.054038159524130144,0.9316176470588236,0.0906067483841515,0.940017825311943,0.0516849522870381
30,0.2,0.9735042735042735,0.04366509324596513,0.8397058823529412,0.08823869819141687,0.9103386809269163,0.04315296581455815
30,0.30000000000000004,0.9745299145299146,0.04245262808455397,0.9073529411764706,0.10622674565161991,0.9428698752228164,0.05597017065606651
30,0.4,0.9686475615887381,0.04260638565760452,0.9316176470588236,0.0906067483841515,0.9518716577540107,0.04992325059445942
30,0.5,0.9395051353874884,0.05050249088200248,0.94375,0.0856450199628936,0.943048128342246,0.050546014633930714
35,0.2,0.9728506787330317,0.045097786991632124,0.8518382352941176,0.08916736059189499,0.9162210338680927,0.04918408101384403
35,0.30000000000000004,0.9745299145299146,0.04245262808455397,0.9191176470588235,0.09802389586186873,0.9488413547237077,0.05359332200988296
35,0.4,0.9686475615887381,0.042606385657604516,0.9316176470588236,0.0906067483841515,0.9518716577540107,0.04992325059445942
35,0.5,0.9463398692810457,0.052351495070133786,0.95,0.07095577652469333,0.9490196078431372,0.04530536804443484
40,0.2,0.9799019607843137,0.0431353980586695,0.8518382352941176,0.09842219925421368,0.919162210338681,0.0517736757329922
40,0.30000000000000004,0.974053724053724,0.042989387885827055,0.9069852941176471,0.09909132158497212,0.9428698752228164,0.054443368326815074
40,0.4,0.9686475615887381,0.042606385657604516,0.9378676470588235,0.0833414428003443,0.9549019607843138,0.04791735035338092
40,0.5,0.9354867561059511,0.050875383159320525,0.95,0.07095577652469333,0.9431372549019608,0.041619548050113454
45,0.2,0.9728506787330317,0.045097786991632124,0.8455882352941176,0.07359066076471779,0.9132798573975045,0.042021069919762684
45,0.30000000000000004,0.974053724053724,0.042989387885827055,0.9069852941176471,0.08494070488752549,0.9429590017825312,0.04855193825096048
45,0.4,0.9686475615887381,0.042606385657604516,0.94375,0.0856450199628936,0.957843137254902,0.04985080064752011
45,0.5,0.9465978672170623,0.05169437000485381,0.95,0.07095577652469333,0.9490196078431372,0.04530536804443484
50,0.2,0.9735042735042735,0.04366509324596513,0.8580882352941176,0.08828974354838766,0.919162210338681,0.04573822445491752
50,0.30000000000000004,0.974053724053724,0.042989387885827055,0.9191176470588235,0.09349132903314045,0.9488413547237077,0.05359332200988296
50,0.4,0.9681713711125476,0.043069028619300155,0.9316176470588236,0.09060674838415152,0.9518716577540107,0.05192679231416676
50,0.5,0.9465978672170623,0.05169437000485381,0.95,0.07095577652469333,0.9490196078431372,0.04530536804443484
